date_time;strain;temperature
2024-01-01 00:00:00.000000;;
2024-01-01 00:00:00.002750;1499.723664553833;39.96115460269458
2024-01-01 00:00:00.005500;;
2024-01-01 00:00:00.008250;;
2024-01-01 00:00:00.011000;;
2024-01-01 00:00:00.013750;1500.0978724170375;39.97233321953058
2024-01-01 00:00:00.016500;;
2024-01-01 00:00:00.019250;;
2024-01-01 00:00:00.022000;;
2024-01-01 00:00:00.024750;1500.0372510190869;40.01490365031359
2024-01-01 00:00:00.027500;;
2024-01-01 00:00:00.030250;;
2024-01-01 00:00:00.033000;;
2024-01-01 00:00:00.035750;1500.124277934327;40.01915258412354
2024-01-01 00:00:00.038500;;
2024-01-01 00:00:00.041250;;
2024-01-01 00:00:00.044000;;
2024-01-01 00:00:00.046750;1499.8403054149621;39.994146368787995
2024-01-01 00:00:00.049500;;
2024-01-01 00:00:00.052250;;
2024-01-01 00:00:00.055000;;
2024-01-01 00:00:00.057750;1500.2093388313556;40.02841508506242
2024-01-01 00:00:00.060500;;
2024-01-01 00:00:00.063250;;
2024-01-01 00:00:00.066000;;
2024-01-01 00:00:00.068750;1499.9353679686021;40.01024863515983
2024-01-01 00:00:00.071500;;
2024-01-01 00:00:00.074250;;
2024-01-01 00:00:00.077000;;
2024-01-01 00:00:00.079750;1499.9462420867903;40.01976576999286
2024-01-01 00:00:00.082500;;
2024-01-01 00:00:00.085250;;
2024-01-01 00:00:00.088000;;
2024-01-01 00:00:00.090750;1499.7538415180152;40.04622368796317
2024-01-01 00:00:00.093500;;
2024-01-01 00:00:00.096250;;
2024-01-01 00:00:00.099000;;
2024-01-01 00:00:00.101750;1499.7422025922417;39.96474172191854
2024-01-01 00:00:00.104500;;
2024-01-01 00:00:00.107250;;
2024-01-01 00:00:00.110000;;
2024-01-01 00:00:00.112750;1500.1603330625346;40.019705822217986
2024-01-01 00:00:00.115500;;
2024-01-01 00:00:00.118250;;
2024-01-01 00:00:00.121000;;
2024-01-01 00:00:00.123750;1500.3110964895973;40.03501933491598
2024-01-01 00:00:00.126500;;
2024-01-01 00:00:00.129250;;
2024-01-01 00:00:00.132000;;
2024-01-01 00:00:00.134750;1500.3880437998685;40.01546245705004
2024-01-01 00:00:00.137500;;
2024-01-01 00:00:00.140250;;
